Promt idx,Prompt,Actual Emotion,Predicted Emotion 1,Predicted Emotion 2,Predicted Emotion 3,Average Time 1,Average Time 2,Average Time 3,Accuracy Model 1,Accuracy Model 2,Accuracy Model 3,Gender,WAV File
5,Can you describe the emotion expressed in this video?,xxx,"The video shows a woman seated and looking distressed, while a man stands nearby with his hand on his hip.","?
Yes, the video captures a range of emotions, including happiness, sadness, and surprise. The woman in the video is seen smiling and laughing, while another woman is seen crying. The man in the video is also seen smiling and laughing. Overall, the video captures a range of emotions that viewers can relate to.",The video does not provide enough information to determine the emotions expressed by the people in the video.,0.106717089,0.187070565,0.021875777,0,0,0,F,Ses01F_impro01_F004
6,What feelings are being portrayed in this video segment?,xxx,The video portrays a sense of anxiety and anticipation.,"?
The video segment portrays a range of emotions, including happiness, sadness, and surprise. The woman in the video appears to be happy and content, while the man in the video appears to be sad and disappointed. The woman's smile and laughter convey a sense of joy and happiness, while the man's frown and frustration convey a sense of sadness and disappointment. The surprise on the woman's face when she sees the man's reaction adds an element of surprise to the video. Overall, the video",The video does not provide any information about the emotions or feelings of the people in the scene.,0.118995772,0.198573789,0.022128501,0,0,0,F,Ses01F_impro01_F004
7,How is the person in the video emotionally reacting?,xxx,"The person in the video appears to be emotionally reacting, as indicated by their body language and facial expressions.","?
The person in the video appears to be happy and enjoying the experience of riding a horse. They are smiling and seem to be having a good time. The horse is also calm and well-behaved, which adds to the positive experience. Overall, the person in the video seems to be having a great time and enjoying the experience of horseback riding.",The video does not provide any information about the emotional state of the person in the video.,0.097536078,0.203019023,0.021104155,0,0,0,F,Ses01F_impro01_F004
8,What is the emotional tone of this video?,xxx,The video has a tense and possibly confrontational tone.,"?
The emotional tone of this video is one of joy and celebration. The video captures a group of people coming together to celebrate a special occasion, and it conveys a sense of happiness and togetherness. The colors in the video are bright and vibrant, adding to the festive atmosphere. Overall, the video conveys a positive and uplifting message.",The video does not provide enough information to determine the emotional tone.,0.104695128,0.19729947,0.019083975,0,0,0,F,Ses01F_impro01_F004
9,What emotion is primarily displayed in this scene?,xxx,The primary emotion displayed in this scene is a mix of surprise and concern.,"?
The primary emotion displayed in this scene is happiness. The man and woman are laughing and enjoying each other's company, which suggests that they are having a good time and enjoying each other's company. The woman's smile and laughter indicate that she is happy and enjoying herself, while the man's smile and laughter suggest that he is also happy and enjoying himself. Overall, the scene conveys a sense of joy and happiness between the two individuals.","In this scene, the primary emotion displayed is frustration. The woman is sitting in a chair with her arms tied behind her back, and her facial expression and body language suggest that she is feeling frustrated. The man standing behind her is also looking at her with a serious expression, which may indicate that he is concerned or trying to understand the situation. The presence of the chair and the man's position behind the woman further emphasize the power dynamic in the scene, with the man appearing to be in control of the situation.",0.118292486,0.202798085,0.054912264,0,0,0,F,Ses01F_impro01_F004
10,How does the person in the video seem to be feeling?,xxx,The person in the video seems to be feeling stressed or anxious as indicated by their hand on their head and fidgeting with objects.,"Based on their facial expressions and body language, they appear to be happy and content. They are smiling and laughing, and their posture is relaxed and comfortable. Overall, the person in the video seems to be enjoying themselves and having a good time.","It is difficult to determine the person's emotions based solely on their physical appearance. However, the person appears to be calm and relaxed in both scenes.",0.130574763,0.157176459,0.031046727,0,0,0,F,Ses01F_impro01_F004
11,What is the emotional state of the character in this video?,xxx,"The character appears to be in a state of distress or deep thought, as indicated by her body language and facial expressions.","?
The character in the video appears to be in a state of shock or disbelief. This can be inferred from their facial expressions and body language, which suggest a strong emotional response to the events unfolding in the video.","It is difficult to determine the emotional state of the character in this video as there is no clear indication of their emotions. However, the character appears to be focused on their phone and is not interacting with anyone else in the scene.",0.139304332,0.165801207,0.034021859,0,0,0,F,Ses01F_impro01_F004
12,Can you identify the emotion shown in this video?,xxx,"The video shows a woman sitting in a room with neutral walls and a man standing, holding a clipboard. The woman is dressed casually and seems to be listening or reacting to something the man says. The man appears focused on his task, which could involve reviewing or explaining information from the documents he holds.","?
The man in the video appears to be in a state of shock or disbelief. His facial expression and body language suggest that he is experiencing a strong emotional response to something he has seen or heard. It is possible that he is reacting to an unexpected event or piece of information that he was not prepared for. Overall, the video captures a moment of intense emotional experience for the man.",The video does not provide enough information to determine the emotions of the people in the video.,0.1366516,0.207308979,0.02110139,0,0,0,F,Ses01F_impro01_F004
13,What emotion is being conveyed by the person in this clip?,xxx,The person in this clip is conveying a sense of distress or discomfort.,"?
The person in the clip seems to be expressing a strong emotion, possibly anger or frustration, as they are yelling into the camera. It is difficult to determine the exact emotion being conveyed without more context, but it is clear that the person is expressing a strong emotion.",The person in the clip appears to be feeling bored or disinterested.,0.119750696,0.163672758,0.022125408,0,0,0,F,Ses01F_impro01_F004
14,How would you describe the mood of this video?,xxx,The video has a tense and serious mood.,"It seems to be a lighthearted and humorous take on the challenges of being a woman in a male-dominated world. The women in the video appear to be enjoying themselves and having a good time, which adds to the overall positive and uplifting tone of the video. Overall, the video seems to be a fun and entertaining way to explore the experiences of women in a male-dominated world.",The video does not provide enough information to determine the mood of the people in the video.,0.111660009,0.184148609,0.021078619,0,0,0,F,Ses01F_impro01_F004
15,What is the dominant emotion in this video?,xxx,The dominant emotion in the video is a sense of anticipation or impatience.,"?
The dominant emotion in this video is a sense of calm and tranquility. The video captures the beauty of nature and the peacefulness that can be found in it. The man in the video seems to be enjoying the moment and appreciating the natural beauty around him. Overall, the video conveys a sense of peace and tranquility.","It is difficult to determine the dominant emotion in this video as the people in the video do not show strong emotional expressions. However, some people are seen smiling, and others are seen with neutral expressions.",0.107823155,0.176918362,0.030901588,0,0,0,F,Ses01F_impro01_F004
16,What emotions are noticeable in this video?,xxx,"The woman's emotions range from surprise to contemplation, while the man appears focused and calm.","?
The video captures a range of emotions, including happiness, sadness, and surprise. The woman in the video appears to be happy and content, while the man in the video seems to be sad and disappointed. The little girl in the video also appears to be happy and content. Overall, the video captures a range of emotions, including happiness, sadness, and surprise.",The video does not provide any information about the emotions of the people in the video.,0.094637189,0.20363733,0.021291414,0,0,0,F,Ses01F_impro01_F004
17,What is the emotional expression of the person in the video?,xxx,The person in the video has a look of distress or concern.,"?
The person in the video appears to be very happy and content, as they are smiling and laughing throughout the video. They seem to be enjoying themselves and having a good time. Overall, the person in the video appears to be very happy and content, as they are smiling and laughing throughout the video. They seem to be enjoying themselves and having a good time. Overall, the person in the video appears to be very happy and content, as they are smiling and laughing throughout the video. They seem",The video does not provide any information about the emotional expression of the person in the video.,0.117376634,0.201132346,0.021006597,0,0,0,F,Ses01F_impro01_F004
18,Which emotion is the person in this video exhibiting?,xxx,"The person in the video is exhibiting a range of emotions including confusion, frustration, and contemplation.","?
The person in the video appears to be experiencing a range of emotions, including happiness, sadness, and frustration. It is difficult to pinpoint a specific emotion without more context, but the person's facial expressions and body language suggest that they are experiencing a mix of emotions.",The person in the video is exhibiting a neutral emotion.,0.106346816,0.169738819,0.018773784,0,0,0,F,Ses01F_impro01_F004
19,What does the person in the video seem to be feeling emotionally?,xxx,The person in the video appears to be feeling distressed or anxious.,"?
The person in the video appears to be feeling happy and content, as they are smiling and laughing throughout the video. They seem to be enjoying themselves and having a good time. Overall, the person in the video seems to be in a positive emotional state.","It is difficult to determine the emotional state of the person in the video as they are not expressing any clear emotions. However, they appear to be focused on their phone and may be feeling a sense of boredom or disinterest in their surroundings.",0.088512249,0.175133392,0.035275856,0,0,0,F,Ses01F_impro01_F004
20,What is the mood of the person in this video?,xxx,The person in the video has a neutral to slightly negative expression.,"positive or negative?
The person in the video appears to be in a positive mood, as they are smiling and laughing throughout the video. They seem to be enjoying themselves and having a good time. Overall, the mood of the person in this video is positive.","It is difficult to determine the mood of the person in the video as there is no clear indication of their emotions. However, they appear to be focused on their work and are sitting in a relaxed position.",0.094126117,0.183472514,0.032946276,0,0,0,F,Ses01F_impro01_F004
21,What kind of emotion does the person in the video exhibit?,xxx,"The person in the video exhibits a range of emotions, including surprise and confusion.","?
The person in the video exhibits a range of emotions, including happiness, sadness, and frustration. At one point, the person is seen laughing and smiling, while at another point, they are seen crying and expressing frustration. Overall, the person in the video appears to be experiencing a mix of emotions throughout the video.",The video does not provide any information about the emotions of the people in the video.,0.109529917,0.181293184,0.019815689,0,0,0,F,Ses01F_impro01_F004
22,How would you summarize the emotion in this video?,xxx,"The video shows a woman sitting in an office setting, looking directly at the camera with a neutral expression. The man standing beside her is holding what appears to be a black bag or portfolio and seems to be engaged in conversation with the seated woman.","?
The video captures a range of emotions, from joy and excitement to sadness and frustration. The man in the video appears to be experiencing a mix of emotions throughout the video. Overall, the video portrays a range of emotions that viewers can relate to in their own lives.",The video does not provide enough information to determine the emotions of the people in the video.,0.138410301,0.167002023,0.021555596,0,0,0,F,Ses01F_impro01_F004
23,What does the body language and facial expression convey emotionally in this video?,xxx,The body language and facial expressions convey a sense of frustration or concern in the woman.,"?
The body language and facial expression of the woman in the video convey a sense of calmness and tranquility. She appears to be at peace with herself and the world around her. Her smile and relaxed posture suggest that she is enjoying the moment and feeling content. Overall, the video conveys a sense of peace and tranquility.","The body language and facial expression of the woman in the video convey a sense of discomfort and displeasure. She appears to be in a state of distress, as indicated by her frowning and tense facial expression. Her body language, such as her crossed arms and leaning back in the chair, suggests that she is trying to create distance between herself and the man. This could indicate that she is not comfortable with his presence or actions.",0.098565045,0.180984794,0.056517008,0,0,0,F,Ses01F_impro01_F004
24,Can you identify the emotional message in this video?,xxx,"The video depicts a woman with her arms crossed, looking away from the man who is speaking and gesturing with his hands. The emotional message in this video is likely one of disinterest or frustration.","?
The video aims to evoke a sense of empathy and compassion in the viewer. It highlights the importance of treating all individuals with kindness and respect, regardless of their background or circumstances. The emotional message of the video is to inspire viewers to make a positive impact in the world by treating others with kindness and compassion.",The video does not provide enough information to determine an emotional message. It is a series of disconnected images that do not convey a clear narrative or emotional arc.,0.102326224,0.196350144,0.022122042,0,0,0,F,Ses01F_impro01_F004
25,What emotion is the person on the left feeling?,xxx,The person on the left appears to be experiencing distress or discomfort.,"?
The person on the left seems to be feeling a sense of calm and contentment. They are smiling and appear to be enjoying the moment. It's possible that they are feeling a sense of peace or tranquility, as they seem to be at ease in their surroundings. Overall, the person on the left seems to be in a good mood and enjoying the company of the person on the right.",The person on the left is feeling happy.,0.105400918,0.1651458,0.017379834,0,0,0,F,Ses01F_impro01_F004
26,"Please specify the predominant emotion shown in this video segment. Choose from: 'neu' (neutral), 'fru' (frustration), 'sad' (sadness), 'sur' (surprise), 'ang' (anger), 'hap' (happiness), 'exc' (excitement), 'fea' (fear), 'dis' (disgust), 'oth' (other). Only generate the emotion, no other text.",xxx,fru,,'neu' (neutral),0.101675719,0.181206137,0.017439256,0,0,0,F,Ses01F_impro01_F004
27,"You are an expert in recognising emotions, what emotions are present here?",xxx,"The video captures a range of emotions, primarily focused on the seated woman who displays expressions that suggest attentiveness and contemplation. The standing man's actions convey engagement or instruction, potentially eliciting varied reactions from the seated individual.","?
The person in the video appears to be experiencing a range of emotions, including happiness, sadness, and frustration. They are seen laughing and smiling at times, but also crying and expressing frustration at others. It's important to note that interpreting emotions from a video can be subjective and may not accurately reflect the person's true feelings.","As an expert in recognising emotions, I can see that the woman in the image is experiencing anger, while the man is feeling sadness. The woman's facial expression and body language indicate her anger, while the man's posture and facial expression suggest his sadness.",0.12172196,0.179126237,0.04885177,0,0,0,F,Ses01F_impro01_F004
28,Give a score for the emotion most present in this video,xxx,"The video captures a sequence of interactions between two individuals, predominantly focusing on one individual's reactions to the other's actions. The emotion most present in this video is one of contemplation or reflection, as evidenced by the seated person's posture and facial expressions throughout the frames. This emotional state is reinforced by the setting, which appears to be an office or classroom environment conducive to study or work-related activities.",".
The emotion that is most present in this video is happiness. The man in the video is smiling and laughing, and his body language is relaxed and open. He seems to be enjoying himself and having a good time. Overall, the video conveys a sense of joy and positivity.",The emotion most present in this video is boredom.,0.11821302,0.17865663,0.018895201,0,0,0,F,Ses01F_impro01_F004
29,What emotion do you think an expert would see in this video?,xxx,"An expert would likely see a mixture of anxiety and determination in the female's facial expressions, while the male might be seen as focused or perhaps experiencing a moment of hesitation.","?
I think an expert would see a mix of emotions in this video. On the one hand, there is a sense of calm and tranquility that comes from being surrounded by nature. On the other hand, there is a sense of adventure and excitement that comes from exploring new places and experiencing different cultures. Overall, I think an expert would see a complex mix of emotions in this video.","As an expert, I would say that the woman in the video appears to be angry.",0.10932601,0.190449357,0.027822185,0,0,0,F,Ses01F_impro01_F004
30,Describe the video,xxx,"The video captures a series of moments in what appears to be an indoor setting, likely an office or a classroom. On the left side, one individual is seated on a chair with their hands clasped together, dressed in a red top and black pants, suggesting a casual yet attentive posture. The right side shows another person standing while reading from a clipboard, wearing a light-colored shirt, indicating they might be presenting information or taking notes. The background remains consistent across frames, with neutral walls and minimalistic decor, reinforcing the formal atmosphere. Throughout the sequence, there are subtle interactions such as slight movements of the seated individual's head towards the standing person, implying engagement between them.","content. The video features a man speaking to the camera while standing in front of a microphone. He is wearing a suit and tie and appears to be delivering a speech or presentation. Throughout the video, the man continues to speak to the camera while standing in front of the microphone. There are no other people or objects visible in the video. The focus is solely on the man and his speech.","In the video, a man and a woman are sitting in chairs. The woman is wearing a black jacket and has her hands tied behind her back. The man is wearing a tan shirt and is holding a clipboard. They are both looking at the camera.",0.165552421,0.190849697,0.035038751,0,0,0,F,Ses01F_impro01_F004
31,"What is the predominant emotion shown by the subject in this video segment? Please choose one of the following: adoration, amusement, anxiety, disgust, emphatic pain, fear, surprise",xxx,The predominant emotion shown by the subject in this video segment is anxiety.,", or sadness. Please select one of the following: adoration, amusement, anxiety, disgust, emphatic pain, fear, surprise, or sadness. Please select one of the following: adoration, amusement, anxiety, disgust, emphatic pain, fear, surprise, or sadness. Please select one of the following: adoration, amusement, anxiety, disgust, emphatic pain, fear, surprise, or sadness. Please select one of the following: adoration, amusement, anxiety, disgust",emphatic pain,0.103437049,0.195706238,0.015510616,0,0,0,F,Ses01F_impro01_F004
32,"You are an expert in recognising emotions, please specify the predominant emotion shown in this video segment. Choose from: 'neu' (neutral), 'fru' (frustration), 'sad' (sadness), 'sur' (surprise), 'ang' (anger), 'hap' (happiness), 'exc' (excitement), 'fea' (fear), 'dis' (disgust), 'oth' (other). Only generate the emotion, no other text.",xxx,neu,"Please specify the predominant emotion shown in this video segment. Choose from: 'neu' (neutral), 'fru' (frustration),'sad' (sadness),'sur' (surprise), 'ang' (anger), 'hap' (happiness), 'exc' (excitement), 'fea' (fear), 'dis' (disgust), 'oth' (other). Only generate the emotion, no other text. The predominant emotion shown in",'sad' (sadness),0.105535611,0.173234999,0.016620922,0,0,0,F,Ses01F_impro01_F004
1,What is the emotion in this video?,neu,The emotion in this video is a mix of confusion and curiosity.,"?
The emotion in this video appears to be one of joy and happiness. The woman in the video is smiling and laughing, and she seems to be having a good time. The man in the video is also smiling and laughing, and he seems to be enjoying himself as well. Overall, the video conveys a sense of happiness and enjoyment.",The video does not provide any information about the emotions of the people in the video.,0.11578269,0.180637603,0.017650866,0,0,0,F,Ses01F_impro01_F005
2,Please specify the predominant emotion shown in this video segment.,neu,The predominant emotion shown in this video segment is one of attentiveness and engagement.,,"The predominant emotion shown in this video segment is one of relaxation and comfort, as the woman is seen sitting in a chair with her legs crossed, and the man is sitting in a chair with his legs crossed.",0.130456203,0.184159885,0.021973296,0,0,0,F,Ses01F_impro01_F005
3,How does the character feel in this video?,neu,"The character in the video appears to be in a state of contemplation or frustration, as suggested by her body language and facial expressions.","?
The character in the video appears to be very happy and content. She is smiling and laughing throughout the video, and she seems to be enjoying herself. Overall, the character seems to be very happy and content in this video.",The video does not provide any information about the character's emotions or feelings.,0.120028905,0.182064742,0.017433129,0,0,0,F,Ses01F_impro01_F005
4,What is the main emotion displayed in this clip?,neu,The main emotion displayed in this clip is frustration.,"?
?
The main emotion displayed in this clip is happiness and joy. The woman in the clip is seen laughing and enjoying herself, which conveys a sense of happiness and joy. Additionally, the presence of a dog in the clip adds to the sense of happiness and joy, as dogs are often associated with positive emotions and companionship. Overall, the clip conveys a sense of happiness and joy through the woman's laughter and the presence of the dog.","The main emotion displayed in this clip is anger. The woman is visibly angry and upset, and she is yelling at the man.",0.118608602,0.169422604,0.02147661,0,0,0,F,Ses01F_impro01_F005
5,Can you describe the emotion expressed in this video?,neu,"The video shows a woman in a red top and black pants sitting passively with her arms crossed, while a man in a gray t-shirt is actively gesturing as if explaining or discussing something. The emotions conveyed are not explicitly stated but can be inferred from their body language.","?
Yes, the video captures a range of emotions, including happiness, sadness, and surprise. The woman in the video is seen smiling and laughing, while another woman is seen crying. The man in the video is also seen smiling and laughing. Overall, the video captures a range of emotions that viewers can relate to.",The video does not provide enough information to determine the emotions expressed by the people in the video.,0.123055146,0.172276077,0.018396038,50,0,0,F,Ses01F_impro01_F005
6,What feelings are being portrayed in this video segment?,neu,The video segment portrays feelings of anxiety or concern.,"?
The video segment portrays a range of emotions, including happiness, sadness, and surprise. The woman in the video appears to be happy and content, while the man in the video appears to be sad and disappointed. The woman's smile and laughter convey a sense of joy and happiness, while the man's frown and frustration convey a sense of sadness and disappointment. The surprise on the woman's face when she sees the man's reaction adds an element of surprise to the video. Overall, the video",The video does not provide any information about the emotions or feelings of the people in the scene.,0.111169168,0.183552565,0.018299594,0,0,0,F,Ses01F_impro01_F005
7,How is the person in the video emotionally reacting?,neu,"The person in the video is shown with varying facial expressions, indicating an emotional reaction.","?
The person in the video appears to be happy and enjoying the experience of riding a horse. They are smiling and seem to be having a good time. The horse is also calm and well-behaved, which adds to the positive experience. Overall, the person in the video seems to be having a great time and enjoying the experience of horseback riding.",The video does not provide any information about the emotional state of the person in the video.,0.118779524,0.176433729,0.017692809,0,0,0,F,Ses01F_impro01_F005
8,What is the emotional tone of this video?,neu,The emotional tone of this video is serious and somber.,"?
The emotional tone of this video is one of joy and celebration. The video captures a group of people coming together to celebrate a special occasion, and it conveys a sense of happiness and togetherness. The colors in the video are bright and vibrant, adding to the festive atmosphere. Overall, the video conveys a positive and uplifting message.",The video does not provide enough information to determine the emotional tone.,0.118715971,0.185382513,0.01555311,0,0,0,F,Ses01F_impro01_F005
9,What emotion is primarily displayed in this scene?,neu,The primary emotion displayed in this scene is seriousness or contemplation.,"?
The primary emotion displayed in this scene is happiness. The man and woman are laughing and enjoying each other's company, which suggests that they are having a good time and enjoying each other's company. The woman's smile and laughter indicate that she is happy and enjoying herself, while the man's smile and laughter suggest that he is also happy and enjoying himself. Overall, the scene conveys a sense of joy and happiness between the two individuals.","In this scene, the primary emotion displayed is one of concern or worry. The woman is sitting in a chair with her hands on her face, which is a common gesture for expressing concern or worry. The man is also sitting in a chair, looking at her with a concerned expression on his face. This suggests that they are both experiencing a moment of concern or worry.",0.110852411,0.181494061,0.032302005,50,0,0,F,Ses01F_impro01_F005
10,How does the person in the video seem to be feeling?,neu,The person in the video appears to be feeling calm and relaxed.,"Based on their facial expressions and body language, they appear to be happy and content. They are smiling and laughing, and their posture is relaxed and comfortable. Overall, the person in the video seems to be enjoying themselves and having a good time.","It is difficult to determine the person's emotions based solely on their appearance in the video. However, the person appears to be calm and relaxed, with no visible signs of distress or discomfort.",0.125480205,0.158932188,0.025455259,0,0,0,F,Ses01F_impro01_F005
11,What is the emotional state of the character in this video?,neu,The character in the video appears to be in a state of contemplation or concern.,"?
The character in the video appears to be in a state of shock or disbelief. This can be inferred from their facial expressions and body language, which suggest a strong emotional response to the events unfolding in the video.","It is difficult to determine the emotional state of the character in this video as there is no clear indication of their emotions. However, the character appears to be focused on their phone and is not interacting with anyone else in the scene.",0.118072629,0.167221847,0.028662967,0,0,0,F,Ses01F_impro01_F005
12,Can you identify the emotion shown in this video?,neu,The video shows a person with a neutral expression and another who appears to be in a state of distress or contemplation.,"?
The man in the video appears to be in a state of shock or disbelief. His facial expression and body language suggest that he is experiencing a strong emotional response to something he has seen or heard. It is possible that he is reacting to an unexpected event or piece of information that he was not prepared for. Overall, the video captures a moment of intense emotional experience for the man.",The video does not provide enough information to determine the emotions of the people in the video.,0.127500827,0.171860152,0.017270518,50,0,0,F,Ses01F_impro01_F005
13,What emotion is being conveyed by the person in this clip?,neu,"The person in this clip is displaying a range of emotions, including surprise and concern.","?
The person in the clip seems to be expressing a strong emotion, possibly anger or frustration, as they are yelling into the camera. It is difficult to determine the exact emotion being conveyed without more context, but it is clear that the person is expressing a strong emotion.",The person in the video appears to be displaying a sense of happiness or contentment.,0.115532552,0.177796673,0.017370217,0,0,0,F,Ses01F_impro01_F005
14,How would you describe the mood of this video?,neu,"The mood of the video is calm and focused, with a conversational or instructional tone.","It seems to be a lighthearted and humorous take on the challenges of being a woman in a male-dominated world. The women in the video appear to be enjoying themselves and having a good time, which adds to the overall positive and uplifting tone of the video. Overall, the video seems to be a fun and entertaining way to explore the experiences of women in a male-dominated world.",The video does not provide enough information to determine the mood of the people in the video.,0.125416218,0.180067289,0.021025145,0,0,0,F,Ses01F_impro01_F005
15,What is the dominant emotion in this video?,neu,The dominant emotion in this video is one of engagement and focus.,"?
The dominant emotion in this video is a sense of calm and tranquility. The video captures the beauty of nature and the peacefulness that can be found in it. The man in the video seems to be enjoying the moment and appreciating the natural beauty around him. Overall, the video conveys a sense of peace and tranquility.","It is difficult to determine the dominant emotion in this video as the people in the video do not show strong emotional expressions. However, some people are smiling, and others are sitting with their arms crossed, which could indicate different emotions.",0.121195437,0.178021755,0.028203435,0,0,50,F,Ses01F_impro01_F005
16,What emotions are noticeable in this video?,neu,"The woman in the left frame exhibits a range of emotions, including surprise and contemplation. The man on the right displays a more subdued demeanor with slight changes in facial expressions throughout the video.","?
The video captures a range of emotions, including happiness, sadness, and surprise. The woman in the video appears to be happy and content, while the man in the video seems to be sad and disappointed. The little girl in the video also appears to be happy and content. Overall, the video captures a range of emotions, including happiness, sadness, and surprise.",The video does not provide any information about the emotions of the people in the video.,0.119375449,0.19148633,0.017066852,0,0,0,F,Ses01F_impro01_F005
17,What is the emotional expression of the person in the video?,neu,"The person in the video appears to be experiencing a range of emotions, including distress or discomfort.","?
The person in the video appears to be very happy and content, as they are smiling and laughing throughout the video. They seem to be enjoying themselves and having a good time. Overall, the person in the video appears to be very happy and content, as they are smiling and laughing throughout the video. They seem to be enjoying themselves and having a good time. Overall, the person in the video appears to be very happy and content, as they are smiling and laughing throughout the video. They seem",The video does not provide any information about the emotional expression of the person in the video.,0.133463561,0.192061464,0.017456462,0,0,0,F,Ses01F_impro01_F005
18,Which emotion is the person in this video exhibiting?,neu,The person in this video is exhibiting an emotion of concern or confusion.,"?
The person in the video appears to be experiencing a range of emotions, including happiness, sadness, and frustration. It is difficult to pinpoint a specific emotion without more context, but the person's facial expressions and body language suggest that they are experiencing a mix of emotions.",The person in the video is exhibiting a neutral emotion.,0.116370971,0.188021031,0.015369123,0,0,100,F,Ses01F_impro01_F005
19,What does the person in the video seem to be feeling emotionally?,neu,"The person in the video appears to be feeling emotionally impacted, as indicated by their facial expressions and body language.","?
The person in the video appears to be feeling happy and content, as they are smiling and laughing throughout the video. They seem to be enjoying themselves and having a good time. Overall, the person in the video seems to be in a positive emotional state.","It is difficult to determine the emotional state of the person in the video as they are not expressing any clear emotions. However, they appear to be focused on their phone and may be feeling engaged or entertained by whatever they are viewing on the screen.",0.124405752,0.16052327,0.026944178,0,0,0,F,Ses01F_impro01_F005
20,What is the mood of the person in this video?,neu,The person in the video appears to be in a contemplative or possibly distressed state.,"positive or negative?
The person in the video appears to be in a positive mood, as they are smiling and laughing throughout the video. They seem to be enjoying themselves and having a good time. Overall, the mood of the person in this video is positive.","It is difficult to determine the mood of the person in the video as there is no clear indication of their emotions. However, they appear to be focused on their phone and are not interacting with anyone else in the video.",0.127522507,0.107171971,0.023647291,0,0,0,F,Ses01F_impro01_F005
21,What kind of emotion does the person in the video exhibit?,neu,"The person in the video exhibits a range of emotions, including attentiveness and surprise.","?
The person in the video exhibits a range of emotions, including happiness, sadness, and frustration. At one point, the person is seen laughing and smiling, while at another point, they are seen crying and expressing frustration. Overall, the person in the video appears to be experiencing a mix of emotions throughout the video.",The video does not provide any information about the emotions of the people in the video.,0.111524263,0.111837172,0.016746889,50,0,0,F,Ses01F_impro01_F005
22,How would you summarize the emotion in this video?,neu,The emotion in this video is somber and reflective.,"?
The video captures a range of emotions, from joy and excitement to sadness and frustration. The man in the video appears to be experiencing a mix of emotions throughout the video. Overall, the video portrays a range of emotions that viewers can relate to in their own lives.",The video does not provide enough information to determine the emotions of the people in the video.,0.125627028,0.107417751,0.017266614,0,0,0,F,Ses01F_impro01_F005
23,What does the body language and facial expression convey emotionally in this video?,neu,"The body language and facial expression convey a sense of engagement, attentiveness, and possibly contemplation.","?
The body language and facial expression of the woman in the video convey a sense of calmness and tranquility. She appears to be at peace with herself and the world around her. Her smile and relaxed posture suggest that she is enjoying the moment and feeling content. Overall, the video conveys a sense of peace and tranquility.","The body language and facial expressions of the man and woman in the video convey a sense of relaxation and enjoyment. The man is seen sitting in a chair with his legs crossed, and the woman is sitting on a chair with her legs crossed. Both of them are smiling and seem to be enjoying themselves. The woman is also seen holding a glass of wine, which adds to the relaxed atmosphere.",0.121651223,0.111426632,0.041910653,0,0,0,F,Ses01F_impro01_F005
24,Can you identify the emotional message in this video?,neu,"The video portrays a man and woman in a conversation, with the woman appearing to be listening intently while the man speaks. The overall emotional message of the video is not explicitly stated but can be inferred as a discussion or interview setting.","?
The video aims to evoke a sense of empathy and compassion in the viewer. It highlights the importance of treating all individuals with kindness and respect, regardless of their background or circumstances. The emotional message of the video is to inspire viewers to make a positive impact in the world by treating others with kindness and compassion.",The video does not provide enough information to determine an emotional message.,0.129665943,0.107782197,0.019377794,50,0,0,F,Ses01F_impro01_F005
25,What emotion is the person on the left feeling?,neu,The person on the left appears to be feeling sad or upset.,"?
The person on the left seems to be feeling a sense of calm and contentment. They are smiling and appear to be enjoying the moment. It's possible that they are feeling a sense of peace or tranquility, as they seem to be at ease in their surroundings. Overall, the person on the left seems to be in a good mood and enjoying the company of the person on the right.",The person on the left is feeling happy.,0.119968529,0.114740279,0.014089507,0,0,0,F,Ses01F_impro01_F005
26,"Please specify the predominant emotion shown in this video segment. Choose from: 'neu' (neutral), 'fru' (frustration), 'sad' (sadness), 'sur' (surprise), 'ang' (anger), 'hap' (happiness), 'exc' (excitement), 'fea' (fear), 'dis' (disgust), 'oth' (other). Only generate the emotion, no other text.",neu,neu,,'neu' (neutral),0.11519084,0.123514869,0.014123044,100,0,100,F,Ses01F_impro01_F005
27,"You are an expert in recognising emotions, what emotions are present here?",neu,"The video captures a series of interactions between two individuals, one seated and the other standing. The seated person appears to be listening attentively or waiting for their turn to speak, while the standing individual is actively engaged in conversation, possibly explaining something or asking questions. There's no clear indication of strong emotions such as joy, anger, or sadness; rather, the expressions seem neutral to mildly engaged, suggesting a calm and focused interaction.","?
The person in the video appears to be experiencing a range of emotions, including happiness, sadness, and frustration. They are seen laughing and smiling at times, but also crying and expressing frustration at others. It's important to note that interpreting emotions from a video can be subjective and may not accurately reflect the person's true feelings.","As an expert in recognising emotions, I can see that the woman in the image is experiencing a mix of emotions, including sadness, frustration, and anger. The man, on the other hand, appears to be experiencing a sense of calmness and detachment from the situation. The woman's facial expression and body language suggest that she is going through a difficult time, possibly due to the man's lack of emotional connection or support. The man's calm demeanor contrasts with the woman's emotional state, which may indicate a disconnect between them.",0.152922367,0.109980929,0.051322126,50,0,50,F,Ses01F_impro01_F005
